name;brzozowski-runtime;brzozowski-parsing;brzozowski-Brzozowski
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00162435; 0.0001
automata/b-armc-incl-easiest/aut2.mata;0.1; 0.099341; 0.0028
automata/b-armc-incl-easy/aut1.mata;2.23; 2.24599; 0.0500
automata/b-armc-incl-easy/aut2.mata;0.3; 0.285938; 0.0076
automata/b-armc-incl-hard/aut1.mata;0.31; 0.303595; 0.0042
automata/b-armc-incl-hard/aut2.mata;0.23; 0.225503; 0.0037
automata/b-armc-incl-medium-hard/aut1.mata;0.23; 0.223127; 0.0051
automata/b-armc-incl-medium-hard/aut2.mata;0.28; 0.272451; 0.0064
automata/b-armc-incl-medium/aut1.mata;0.31; 0.296321; 0.0041
automata/b-armc-incl-medium/aut2.mata;0.21; 0.21494; 0.0037
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000506653; 0.0001
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00108401; 0.0002
automata/b-hand-made-easy/aut1.mata;1.93; 0.177158; 1.8145
automata/b-param-easiest/aut0.mata;0.0; 0.00305342; 0.0001
automata/b-param-easiest/aut1.mata;0.0; 0.00296843; 0.0001
automata/b-param-easy/aut0.mata;0.29; 0.161536; 0.1228
automata/b-param-easy/aut1.mata;0.27; 0.150168; 0.1218
automata/b-param-harder/aut0.mata;0.03; 0.0329947; 0.0007
automata/b-param-harder/aut1.mata;0.03; 0.0357905; 0.0009
automata/b-param-harder/aut10.mata;0.02; 0.0358605; 0.0006
automata/b-param-harder/aut11.mata;0.03; 0.0367226; 0.0007
automata/b-param-harder/aut12.mata;0.04; 0.0381556; 0.0006
automata/b-param-harder/aut13.mata;0.03; 0.0336619; 0.0006
automata/b-param-harder/aut14.mata;0.03; 0.0332629; 0.0006
automata/b-param-harder/aut15.mata;0.03; 0.0322963; 0.0016
automata/b-param-harder/aut16.mata;0.03; 0.0349095; 0.0006
automata/b-param-harder/aut17.mata;0.03; 0.0361281; 0.0006
automata/b-param-harder/aut2.mata;0.04; 0.0367933; 0.0036
automata/b-param-harder/aut3.mata;0.04; 0.0459429; 0.0006
automata/b-param-harder/aut4.mata;0.03; 0.0462011; 0.0006
automata/b-param-harder/aut5.mata;0.03; 0.0368034; 0.0006
automata/b-param-harder/aut6.mata;0.03; 0.0383451; 0.0006
automata/b-param-harder/aut7.mata;0.03; 0.0381679; 0.0012
automata/b-param-harder/aut8.mata;0.04; 0.0407151; 0.0006
automata/b-param-harder/aut9.mata;0.02; 0.0403333; 0.0006
automata/b-param-hardest/aut1.mata;1.95; 1.35715; 0.6333
automata/b-param-hardest/aut2.mata;1.93; 1.30437; 0.6175
automata/b-param-medium/aut0.mata;0.03; 0.0369353; 0.0005
automata/b-param-medium/aut1.mata;0.02; 0.0336395; 0.0008
automata/b-param-medium/aut10.mata;0.03; 0.0343531; 0.0005
automata/b-param-medium/aut11.mata;0.03; 0.0353817; 0.0006
automata/b-param-medium/aut12.mata;0.03; 0.0336588; 0.0005
automata/b-param-medium/aut13.mata;0.03; 0.0314912; 0.0006
automata/b-param-medium/aut14.mata;0.03; 0.033633; 0.0006
automata/b-param-medium/aut15.mata;0.04; 0.0387836; 0.0010
automata/b-param-medium/aut16.mata;0.03; 0.036579; 0.0005
automata/b-param-medium/aut2.mata;0.03; 0.0338452; 0.0006
automata/b-param-medium/aut3.mata;0.02; 0.0326457; 0.0006
automata/b-param-medium/aut4.mata;0.02; 0.0361495; 0.0006
automata/b-param-medium/aut5.mata;0.03; 0.0318979; 0.0005
automata/b-param-medium/aut6.mata;0.03; 0.0325652; 0.0011
automata/b-param-medium/aut7.mata;0.03; 0.0344701; 0.0006
automata/b-param-medium/aut8.mata;0.04; 0.0382288; 0.0006
automata/b-param-medium/aut9.mata;0.03; 0.0329309; 0.0006
automata/b-regex-easiest/aut21.mata;0.01; 0.0104786; 0.0001
