name;residuals-runtime;residuals-parsing;residuals-residuals
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00185392; 0.0003
automata/b-armc-incl-easiest/aut2.mata;0.1; 0.10365; 0.0027
automata/b-armc-incl-easy/aut1.mata;1.99; 1.96371; 0.0608
automata/b-armc-incl-easy/aut2.mata;0.23; 0.277368; 0.0062
automata/b-armc-incl-hard/aut1.mata;0.29; 0.27729; 0.0044
automata/b-armc-incl-hard/aut2.mata;0.21; 0.210079; 0.0034
automata/b-armc-incl-medium-hard/aut1.mata;0.19; 0.207638; 0.0033
automata/b-armc-incl-medium-hard/aut2.mata;0.25; 0.244889; 0.0038
automata/b-armc-incl-medium/aut1.mata;0.28; 0.279902; 0.0048
automata/b-armc-incl-medium/aut2.mata;0.22; 0.215117; 0.0035
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000505075; 0.0002
automata/b-hand-made-easiest/aut2.mata;0.0; 0.001091; 0.0002
automata/b-hand-made-easy/aut1.mata;1.94; 0.169609; 1.7961
automata/b-param-easiest/aut0.mata;0.0; 0.00297318; 0.0002
automata/b-param-easiest/aut1.mata;0.0; 0.00320086; 0.0002
automata/b-param-easy/aut0.mata;5.77; 0.149828; 5.6515
automata/b-param-easy/aut1.mata;5.78; 0.147751; 5.7506
automata/b-param-harder/aut0.mata;0.03; 0.0333318; 0.0009
automata/b-param-harder/aut1.mata;0.03; 0.0367112; 0.0009
automata/b-param-harder/aut10.mata;0.03; 0.0339083; 0.0009
automata/b-param-harder/aut11.mata;0.04; 0.0391832; 0.0009
automata/b-param-harder/aut12.mata;0.04; 0.0389462; 0.0008
automata/b-param-harder/aut13.mata;0.03; 0.0368799; 0.0009
automata/b-param-harder/aut14.mata;0.03; 0.0326903; 0.0008
automata/b-param-harder/aut15.mata;0.04; 0.0376135; 0.0009
automata/b-param-harder/aut16.mata;0.03; 0.033983; 0.0008
automata/b-param-harder/aut17.mata;0.03; 0.0345081; 0.0016
automata/b-param-harder/aut2.mata;0.04; 0.0377938; 0.0008
automata/b-param-harder/aut3.mata;0.03; 0.0344236; 0.0009
automata/b-param-harder/aut4.mata;0.03; 0.0349855; 0.0009
automata/b-param-harder/aut5.mata;0.03; 0.0333869; 0.0009
automata/b-param-harder/aut6.mata;0.03; 0.033716; 0.0009
automata/b-param-harder/aut7.mata;0.04; 0.0376976; 0.0008
automata/b-param-harder/aut8.mata;0.03; 0.0370529; 0.0009
automata/b-param-harder/aut9.mata;0.02; 0.0374301; 0.0008
automata/b-param-hardest/aut1.mata;TO;TO;TO
automata/b-param-hardest/aut2.mata;TO;TO;TO
automata/b-param-medium/aut0.mata;0.03; 0.0325509; 0.0008
automata/b-param-medium/aut1.mata;0.03; 0.0351717; 0.0009
automata/b-param-medium/aut10.mata;0.03; 0.0343962; 0.0008
automata/b-param-medium/aut11.mata;0.03; 0.0317364; 0.0008
automata/b-param-medium/aut12.mata;0.03; 0.0342148; 0.0008
automata/b-param-medium/aut13.mata;0.03; 0.0350837; 0.0008
automata/b-param-medium/aut14.mata;0.02; 0.0328858; 0.0008
automata/b-param-medium/aut15.mata;0.03; 0.030964; 0.0008
automata/b-param-medium/aut16.mata;0.03; 0.0344129; 0.0008
automata/b-param-medium/aut2.mata;0.03; 0.0344844; 0.0009
automata/b-param-medium/aut3.mata;0.03; 0.0312055; 0.0008
automata/b-param-medium/aut4.mata;0.03; 0.0321983; 0.0009
automata/b-param-medium/aut5.mata;0.03; 0.0345748; 0.0009
automata/b-param-medium/aut6.mata;0.01; 0.0305753; 0.0008
automata/b-param-medium/aut7.mata;0.03; 0.0320954; 0.0025
automata/b-param-medium/aut8.mata;0.03; 0.0357832; 0.0008
automata/b-param-medium/aut9.mata;0.02; 0.0341697; 0.0008
automata/b-regex-easiest/aut21.mata;0.01; 0.0121748; 0.0002
automata/b-regex-easiest/aut26.mata;0.01; 0.0149406; 0.0003
automata/b-regex-easiest/aut27.mata;0.01; 0.0104071; 0.0002
automata/b-regex-easiest/aut35.mata;0.02; 0.0265501; 0.0012
automata/b-regex-easiest/aut51.mata;0.0; 0.00466362; 0.0002
automata/b-regex-easy/aut26.mata;0.01; 0.0133668; 0.0003
automata/b-regex-easy/aut40.mata;0.0; 0.00433547; 0.0002
automata/b-regex-easy/aut61.mata;0.03; 0.0336573; 0.0003
automata/b-regex-easy/aut69.mata;1.75; 1.55965; 0.2061
automata/b-regex-easy/aut7.mata;41.79; 1.49655; 40.5596
automata/b-smt-easiest/aut1.mata;0.0; 0.0006193; 0.0001
automata/b-smt-easiest/aut2.mata;0.0; 0.00109259; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata;1.73; 1.67246; 0.0498
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.59; 1.54541; 0.0429
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata;1.72; 1.6751; 0.0490
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;1.59; 1.57482; 0.0421
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata;1.63; 1.5529; 0.0508
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;1.43; 1.37966; 0.0388
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;1.63; 1.55309; 0.0466
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.44; 1.38597; 0.0399
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata;1.62; 1.56654; 0.0477
